W1,W2,W3,W4,W5,W6,W7,W8,,B1,B2,B3,B4,B5,B6,B7,B8
0.486,0.468,0.421,0.449,0.452,0.425,0.475,0.467,,0.482,0.467,0.42,0.45,0.446,0.419,0.471,0.464
0.484,0.471,0.435,0.458,0.465,0.429,0.476,0.466,,0.478,0.467,0.433,0.456,0.458,0.421,0.471,0.462
0.491,0.47,0.435,0.463,0.453,0.424,0.479,0.463,,0.481,0.463,0.428,0.455,0.445,0.416,0.471,0.458
0.489,0.465,0.433,0.458,0.453,0.423,0.477,0.462,,0.479,0.455,0.421,0.446,0.445,0.413,0.468,0.455
0.485,0.457,0.427,0.455,0.453,0.419,0.478,0.464,,0.477,0.449,0.415,0.442,0.448,0.412,0.467,0.456
0.485,0.457,0.421,0.45,0.452,0.42,0.468,0.461,,0.482,0.449,0.411,0.44,0.446,0.411,0.463,0.455
0.477,0.455,0.413,0.443,0.448,0.42,0.466,0.461,,0.474,0.447,0.406,0.435,0.443,0.411,0.46,0.454
0.477,0.455,0.413,0.436,0.447,0.42,0.463,0.462,,0.476,0.448,0.407,0.434,0.441,0.409,0.459,0.454
0.478,0.459,0.413,0.44,0.446,0.417,0.462,0.465,,0.477,0.448,0.409,0.434,0.44,0.406,0.46,0.454
0.479,0.462,0.424,0.445,0.449,0.421,0.475,0.47,,0.475,0.453,0.415,0.439,0.443,0.411,0.466,0.459
0.488,0.471,0.426,0.454,0.457,0.428,0.481,0.471,,0.481,0.461,0.417,0.445,0.451,0.417,0.472,0.463
0.491,0.471,0.426,0.459,0.466,0.432,0.484,0.475,,0.486,0.467,0.423,0.456,0.458,0.425,0.478,0.47
0.49,0.473,0.421,0.455,0.461,0.431,0.485,0.477,,0.486,0.471,0.421,0.456,0.452,0.424,0.481,0.473
0.494,0.476,0.432,0.457,0.467,0.433,0.485,0.482,,0.489,0.472,0.43,0.455,0.458,0.425,0.48,0.477
0.491,0.466,0.427,0.459,0.456,0.429,0.48,0.476,,0.484,0.455,0.421,0.45,0.448,0.42,0.473,0.466
0.49,0.469,0.429,0.461,0.46,0.427,0.482,0.473,,0.483,0.459,0.419,0.45,0.452,0.416,0.474,0.462
0.475,0.467,0.426,0.451,0.457,0.427,0.476,0.481,,0.47,0.456,0.415,0.442,0.449,0.415,0.469,0.461
0.482,0.458,0.413,0.449,0.446,0.422,0.47,0.464,,0.477,0.453,0.407,0.441,0.445,0.411,0.465,0.455
0.478,0.455,0.414,0.447,0.437,0.42,0.463,0.459,,0.475,0.449,0.41,0.441,0.437,0.406,0.462,0.454
